"ano,tipo_eleicao,sigla_uf,id_municipio_tse,turno,cargo,aptos,secoes,secoes_agregadas,aptos_tot,secoes_tot,comparecimento,abstencoes,votos_validos,votos_brancos,votos_nulos,votos_legenda,prop_comparecimento,prop_votos_validos,prop_votos_brancos,prop_votos_nulos"
"2000,eleicao ordinaria,BA,38490,1,prefeito,1388709,3104,32,1388709,3104,1127448,261261,988741,53304,85403,0,81.186768,87.697258,4.7278457,7.5748949"
"2000,eleicao ordinaria,BA,38490,1,vereador,1388709,3104,32,1388709,3104,1127448,261261,853278,67189,47215,159766,81.186768,75.682251,5.9593878,4.1877761"
"1998,eleicao ordinaria,BA,38490,1,deputado estadual,1325415,0,0,0,0,1008005,317410,647899,81624,69099,209383,76.052032,64.275375,8.097579,6.8550253"
"1998,eleicao ordinaria,BA,38490,1,deputado federal,1325415,0,0,0,0,1008005,317410,630217,87213,69695,220880,76.052032,62.521217,8.6520405,6.9141521"
"1998,eleicao ordinaria,BA,38490,1,governador,1325415,0,0,0,0,1008005,317410,785718,78307,143980,0,76.052032,77.94783,7.7685132,14.283659"
"1998,eleicao ordinaria,BA,38490,1,presidente,1325415,0,0,0,0,1008005,317410,807337,50810,149858,0,76.052032,80.09256,5.0406494,14.866792"
"1998,eleicao ordinaria,BA,38490,1,senador,1325415,0,0,0,0,1008005,317410,745735,91900,170370,0,76.052032,73.981277,9.1170187,16.901701"
"2002,eleicao ordinaria,BA,38490,1,deputado estadual,1508170,3274,24,1508170,3274,1218008,290162,987483,55290,38961,136274,80.760658,81.073608,4.5393791,3.1987474"
"2002,eleicao ordinaria,BA,38490,1,deputado federal,1508170,3274,24,1508170,3274,1218008,290162,984853,59311,44517,129327,80.760658,80.857681,4.8695083,3.6549022"
"2002,eleicao ordinaria,BA,38490,1,governador,1508170,3274,24,1508170,3274,1218015,290155,1100465,47914,69636,0,80.761124,90.349052,3.9337776,5.7171712"
"2002,eleicao ordinaria,BA,38490,1,presidente,1508170,3274,24,1508170,3274,1218015,290155,1119879,30376,67760,0,80.761124,91.942955,2.4938939,5.5631499"
"2002,eleicao ordinaria,BA,38490,1,senador,1508170,3274,24,1508170,3274,1218015,290155,2008322,147023,280685,0,80.761124,164.88483,12.070705,23.044462"
"2002,eleicao ordinaria,BA,38490,2,presidente,1508170,3274,24,1508170,3274,1216959,291211,1150031,20915,46013,0,80.691101,94.500389,1.7186282,3.780982"
"2004,eleicao ordinaria,BA,38490,1,prefeito,1585346,3676,60,1585346,3676,1314021,271325,1205372,37008,71641,0,82.885437,91.73156,2.8163934,5.4520435"
"2004,eleicao ordinaria,BA,38490,1,vereador,1585346,3676,60,1585346,3676,1314020,271326,1065935,59542,46333,142210,82.885376,81.120148,4.5312858,3.5260499"
"2004,eleicao ordinaria,BA,38490,2,prefeito,1585346,3676,60,1585346,3676,1250084,335262,1173264,20755,56065,0,78.85244,93.854813,1.6602885,4.4848986"
"2006,eleicao ordinaria,BA,38490,1,deputado estadual,1657559,4015,39,1657559,4015,1410749,246810,1041768,135435,82034,151512,85.110031,73.845032,9.6002197,5.8149252"
"2006,eleicao ordinaria,BA,38490,1,deputado federal,1657559,4015,39,1657559,4015,1410749,246810,1090833,123605,78547,117764,85.110031,77.322968,8.7616577,5.5677514"
"2006,eleicao ordinaria,BA,38490,1,governador,1657559,4015,39,1657559,4015,1410749,246810,1195495,92965,122289,0,85.110031,84.741867,6.5897617,8.6683741"
"2006,eleicao ordinaria,BA,38490,1,presidente,1657559,4015,39,1657559,4015,1410749,246810,1276283,54594,79872,0,85.110031,90.468468,3.8698592,5.6616735"
"2006,eleicao ordinaria,BA,38490,1,senador,1657559,4015,39,1657559,4015,1410749,246810,1080653,147248,182848,0,85.110031,76.601364,10.437576,12.961059"
"2006,eleicao ordinaria,BA,38490,2,presidente,1657559,4015,39,1657559,4015,1381461,276098,1308636,20804,52021,0,83.343094,94.728409,1.5059419,3.765651"
"2016,eleicao ordinaria,BA,38490,1,prefeito,1948191,4704,100,1948191,4704,1534231,413960,1327529,48615,158087,0,78.751572,86.527321,3.1686885,10.303989"
"2016,eleicao ordinaria,BA,38490,1,vereador,1948191,4704,100,1948191,4704,1534231,413960,1156872,93645,161256,122458,78.751572,75.40403,6.1037092,10.510543"
"2010,eleicao ordinaria,BA,38490,1,deputado estadual,1831496,4390,48,1831496,4390,1506475,325021,1113968,120092,107475,164940,82.253799,73.945335,7.9717221,7.1342039"
"2010,eleicao ordinaria,BA,38490,1,deputado federal,1831496,4390,48,1831496,4390,1506475,325021,1130080,135233,112000,129162,82.253799,75.014854,8.9767838,7.4345741"
"2010,eleicao ordinaria,BA,38490,1,governador,1831496,4390,48,1831496,4390,1506475,325021,1268205,100037,138233,0,82.253799,84.183609,6.6404686,9.1759243"
"2010,eleicao ordinaria,BA,38490,1,presidente,1831496,4390,48,1831496,4390,1506475,325021,1339108,66502,100865,0,82.253799,88.89016,4.4144111,6.6954312"
"2010,eleicao ordinaria,BA,38490,1,senador,1831496,4390,48,1831496,4390,1506475,325021,2248343,325425,439182,0,82.253799,149.24529,21.601753,29.152956"
"2010,eleicao ordinaria,BA,38490,2,presidente,1831572,4390,48,1831572,4390,1419474,412098,1272010,48480,98984,0,77.500313,89.611366,3.4153497,6.9732871"
"2014,eleicao ordinaria,BA,38490,1,deputado estadual,1922192,4618,92,1922192,4618,1532410,389782,1050091,155340,171221,155758,79.722008,68.525459,10.136973,11.173315"
"2014,eleicao ordinaria,BA,38490,1,deputado federal,1922192,4618,92,1922192,4618,1532410,389782,1031771,182689,200814,117136,79.722008,67.329956,11.921679,13.104456"
"2014,eleicao ordinaria,BA,38490,1,governador,1922192,4618,92,1922192,4618,1532410,389782,1211799,124474,196137,0,79.722008,79.077988,8.1227608,12.799251"
"2014,eleicao ordinaria,BA,38490,1,presidente,1923853,4621,94,1923853,4621,1533823,390030,1307604,79733,146486,0,79.726624,85.251297,5.198318,9.5503845"
"2014,eleicao ordinaria,BA,38490,1,senador,1922192,4618,92,1922192,4618,1532410,389782,1041078,198178,293154,0,79.722008,67.937302,12.93244,19.130259"
"2014,eleicao ordinaria,BA,38490,2,presidente,1923807,4621,94,1923807,4621,1496571,427236,1365889,29435,101247,0,77.79216,91.267906,1.9668295,6.7652655"
"2008,eleicao ordinaria,BA,38490,1,prefeito,1747278,4209,54,1747278,4209,1451991,295287,1300354,52728,98909,0,83.100174,89.556618,3.6314275,6.8119569"
"2008,eleicao ordinaria,BA,38490,1,vereador,1747278,4209,54,1747278,4209,1451991,295287,1092176,86109,70868,202838,83.100174,75.2192,5.9304085,4.8807464"
"2008,eleicao ordinaria,BA,38490,2,prefeito,1747278,4209,54,1747278,4209,1402473,344805,1288979,35263,78231,0,80.266159,91.907578,2.5143442,5.5780754"
"2018,eleicao ordinaria,BA,38490,1,deputado estadual,1827398,4800,415,1827398,4800,1579601,247797,1056332,109767,281785,130971,86.439903,66.873344,6.9490333,17.838999"
"2018,eleicao ordinaria,BA,38490,1,deputado federal,1827398,4800,415,1827398,4800,1579601,247797,1096155,98433,268528,115739,86.439903,69.394424,6.2315102,16.999737"
"2018,eleicao ordinaria,BA,38490,1,governador,1827398,4800,415,1827398,4800,1579601,247797,1237302,72432,269121,0,86.439903,78.330032,4.5854616,17.037277"
"2018,eleicao ordinaria,BA,38490,1,presidente,1828281,4800,415,1828281,4800,1580390,247891,1355852,44916,178876,0,86.441307,85.792244,2.8420832,11.318472"
"2018,eleicao ordinaria,BA,38490,1,senador,1827398,4800,415,1827398,4800,1579601,247797,2001294,281126,875290,0,86.439903,126.69617,17.797279,55.412094"
"2018,eleicao ordinaria,BA,38490,2,presidente,1828189,4800,415,1828189,4800,1605142,223047,1436805,25513,142824,0,87.799568,89.512642,1.5894544,8.8979044"
"2020,eleicao ordinaria,BA,38490,1,prefeito,1897098,4228,229,1897098,4228,1395106,501992,1214123,46855,134128,0,73.538956,87.02729,3.3585262,9.6141796"
"2020,eleicao ordinaria,BA,38490,1,vereador,1897098,4228,229,1897098,4228,1395106,501992,1108688,70705,118749,91060,73.538956,79.469803,5.0680737,8.5118265"
"2012,eleicao ordinaria,BA,38490,1,prefeito,1881544,4507,75,1881544,4507,1506522,375022,1292107,72972,141443,0,80.06839,85.767548,4.8437395,9.388711"
"2012,eleicao ordinaria,BA,38490,1,vereador,1881544,4507,75,1881544,4507,1506522,375022,1147891,98682,117727,142222,80.06839,76.194771,6.5503192,7.8144894"
"2012,eleicao ordinaria,BA,38490,2,prefeito,1881544,4507,75,1881544,4507,1476531,405013,1341599,36579,98353,0,78.474434,90.861557,2.4773607,6.6610861"